"Published on","Unique ID","Target","Indicator","Indicator Type","Disaggregation","Year","Unit","Value","Footnote","Comments"
"28-Feb-2026 18:57","ORT-NR7ID-MN-288681-1","NT02. By 2030, restore at least 30 percent of degraded ecosystems and improve ecological integrity and connectivity.","2.1 Area under restoration","headline","T2 Temperate-boreal forests and woodlands biome","2022","ha","55773.2","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288681-1","NT02. By 2030, restore at least 30 percent of degraded ecosystems and improve ecological integrity and connectivity.","2.1 Area under restoration","headline","T4 Savannas and grasslands biome","2023","ha","3541990","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288681-1","NT02. By 2030, restore at least 30 percent of degraded ecosystems and improve ecological integrity and connectivity.","2.1 Area under restoration","headline","T4 Savannas and grasslands biome","2024","ha","3167790","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288681-1","NT02. By 2030, restore at least 30 percent of degraded ecosystems and improve ecological integrity and connectivity.","2.1 Area under restoration","headline","F1 Rivers and streams biome","2023","ha","26020","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288681-1","NT02. By 2030, restore at least 30 percent of degraded ecosystems and improve ecological integrity and connectivity.","2.1 Area under restoration","headline","T2 Temperate-boreal forests and woodlands biome","2024","ha","246253.77","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288681-1","NT02. By 2030, restore at least 30 percent of degraded ecosystems and improve ecological integrity and connectivity.","2.1 Area under restoration","headline","T4 Savannas and grasslands biome","2022","ha","1351896.8","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288681-1","NT02. By 2030, restore at least 30 percent of degraded ecosystems and improve ecological integrity and connectivity.","2.1 Area under restoration","headline","T7 Intensive land-use biome","2021","ha","393200","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288681-1","NT02. By 2030, restore at least 30 percent of degraded ecosystems and improve ecological integrity and connectivity.","2.1 Area under restoration","headline","T2 Temperate-boreal forests and woodlands biome","2023","ha","98544.86","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288681-1","NT02. By 2030, restore at least 30 percent of degraded ecosystems and improve ecological integrity and connectivity.","2.1 Area under restoration","headline","T4 Savannas and grasslands biome","2021","ha","2704400","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288681-1","NT02. By 2030, restore at least 30 percent of degraded ecosystems and improve ecological integrity and connectivity.","2.1 Area under restoration","headline","T7 Intensive land-use biome","2023","ha","229199.3","",""
